Species,Antibiotic,Year,N,Resistant,PercentResistant
Acinetobacter baumannii,Ciprofloxacin,2018,61,51,83.6
Acinetobacter baumannii,Ciprofloxacin,2019,215,195,90.7
Acinetobacter baumannii,Ciprofloxacin,2020,253,231,91.3
Acinetobacter baumannii,Ciprofloxacin,2021,232,207,89.2
Acinetobacter baumannii,Ciprofloxacin,2022,191,176,92.1
Acinetobacter baumannii,Ciprofloxacin,2023,162,152,93.8
Acinetobacter baumannii,Ciprofloxacin,2024,164,147,89.6
Escherichia coli,Ciprofloxacin,2018,223,186,83.4
Escherichia coli,Ciprofloxacin,2019,270,192,71.1
Escherichia coli,Ciprofloxacin,2020,435,328,75.4
Escherichia coli,Ciprofloxacin,2021,496,359,72.4
Escherichia coli,Ciprofloxacin,2022,423,317,74.9
Escherichia coli,Ciprofloxacin,2023,379,301,79.4
Escherichia coli,Ciprofloxacin,2024,395,290,73.4
Klebsiella pneumoniae,Ciprofloxacin,2018,204,149,73.0
Klebsiella pneumoniae,Ciprofloxacin,2019,326,211,64.7
Klebsiella pneumoniae,Ciprofloxacin,2020,541,363,67.1
Klebsiella pneumoniae,Ciprofloxacin,2021,497,365,73.4
Klebsiella pneumoniae,Ciprofloxacin,2022,472,339,71.8
Klebsiella pneumoniae,Ciprofloxacin,2023,414,287,69.3
Klebsiella pneumoniae,Ciprofloxacin,2024,458,330,72.1
Pseudomonas aeruginosa,Ciprofloxacin,2018,140,46,32.9
Pseudomonas aeruginosa,Ciprofloxacin,2019,312,86,27.6
Pseudomonas aeruginosa,Ciprofloxacin,2020,451,126,27.9
Pseudomonas aeruginosa,Ciprofloxacin,2021,462,109,23.6
Pseudomonas aeruginosa,Ciprofloxacin,2022,401,125,31.2
Pseudomonas aeruginosa,Ciprofloxacin,2023,362,112,30.9
Pseudomonas aeruginosa,Ciprofloxacin,2024,281,77,27.4
Acinetobacter baumannii,Meropenem,2006,1,1,100.0
Acinetobacter baumannii,Meropenem,2007,89,66,74.2
Acinetobacter baumannii,Meropenem,2008,22,13,59.1
Acinetobacter baumannii,Meropenem,2009,7,5,71.4
Acinetobacter baumannii,Meropenem,2015,22,17,77.3
Acinetobacter baumannii,Meropenem,2016,31,28,90.3
Acinetobacter baumannii,Meropenem,2018,61,47,77.0
Acinetobacter baumannii,Meropenem,2019,215,195,90.7
Acinetobacter baumannii,Meropenem,2020,253,231,91.3
Acinetobacter baumannii,Meropenem,2021,232,208,89.7
Acinetobacter baumannii,Meropenem,2022,191,174,91.1
Acinetobacter baumannii,Meropenem,2023,162,152,93.8
Acinetobacter baumannii,Meropenem,2024,164,147,89.6
Escherichia coli,Meropenem,2006,18,0,0.0
Escherichia coli,Meropenem,2007,115,6,5.2
Escherichia coli,Meropenem,2008,45,3,6.7
Escherichia coli,Meropenem,2009,5,0,0.0
Escherichia coli,Meropenem,2015,39,2,5.1
Escherichia coli,Meropenem,2016,50,5,10.0
Escherichia coli,Meropenem,2018,224,31,13.8
Escherichia coli,Meropenem,2019,270,32,11.9
Escherichia coli,Meropenem,2020,435,80,18.4
Escherichia coli,Meropenem,2021,496,93,18.8
Escherichia coli,Meropenem,2022,423,96,22.7
Escherichia coli,Meropenem,2023,379,62,16.4
Escherichia coli,Meropenem,2024,395,100,25.3
Klebsiella pneumoniae,Meropenem,2004,1,0,0.0
Klebsiella pneumoniae,Meropenem,2006,16,0,0.0
Klebsiella pneumoniae,Meropenem,2007,105,8,7.6
Klebsiella pneumoniae,Meropenem,2008,54,10,18.5
Klebsiella pneumoniae,Meropenem,2009,24,6,25.0
Klebsiella pneumoniae,Meropenem,2015,33,10,30.3
