Pathogen,Antibiotic,Region
Acinetobacter spp.,Colistin,United Arab Emirates
Acinetobacter spp.,Colistin,United Arab Emirates
Acinetobacter spp.,Colistin,United Arab Emirates
Acinetobacter spp.,Colistin,United Arab Emirates
Acinetobacter spp.,Colistin,Argentina
Acinetobacter spp.,Colistin,Argentina
Acinetobacter spp.,Colistin,Argentina
Acinetobacter spp.,Colistin,Argentina
Acinetobacter spp.,Colistin,India
Acinetobacter spp.,Colistin,India
Acinetobacter spp.,Colistin,India
Acinetobacter spp.,Colistin,India
Acinetobacter spp.,Colistin,North Macedonia
Acinetobacter spp.,Colistin,North Macedonia
Acinetobacter spp.,Colistin,North Macedonia
Acinetobacter spp.,Colistin,North Macedonia
Acinetobacter spp.,Colistin,Malaysia
Acinetobacter spp.,Colistin,Malaysia
Acinetobacter spp.,Colistin,Malaysia
Acinetobacter spp.,Colistin,Malaysia
Acinetobacter spp.,Colistin,Oman
Acinetobacter spp.,Colistin,Oman
Acinetobacter spp.,Colistin,Oman
Acinetobacter spp.,Colistin,Oman
Acinetobacter spp.,Colistin,Philippines
Acinetobacter spp.,Colistin,Philippines
Acinetobacter spp.,Colistin,Philippines
Acinetobacter spp.,Colistin,Philippines
Acinetobacter spp.,Colistin,Saudi Arabia
Acinetobacter spp.,Colistin,Saudi Arabia
Acinetobacter spp.,Colistin,Saudi Arabia
Acinetobacter spp.,Colistin,Saudi Arabia
Acinetobacter spp.,Colistin,Thailand
Acinetobacter spp.,Colistin,Thailand
Acinetobacter spp.,Colistin,Thailand
Acinetobacter spp.,Colistin,Thailand
Escherichia coli,Cefotaxime,United Arab Emirates
Escherichia coli,Cefotaxime,United Arab Emirates
Escherichia coli,Cefotaxime,United Arab Emirates
Escherichia coli,Cefotaxime,United Arab Emirates
Escherichia coli,Cefotaxime,Argentina
Escherichia coli,Cefotaxime,Argentina
Escherichia coli,Cefotaxime,Argentina
Escherichia coli,Cefotaxime,Argentina
Escherichia coli,Cefotaxime,Bosnia and Herzegovina
Escherichia coli,Cefotaxime,Bosnia and Herzegovina
Escherichia coli,Cefotaxime,Bosnia and Herzegovina
Escherichia coli,Cefotaxime,Bosnia and Herzegovina
