pathogen,antibiotic,state_region,source_dataset
5,1.0,32,ICMR (India)
5,7.0,32,ICMR (India)
5,9.0,32,ICMR (India)
5,34.0,32,ICMR (India)
5,11.0,32,ICMR (India)
5,19.0,32,ICMR (India)
5,20.0,32,ICMR (India)
5,26.0,32,ICMR (India)
9,1.0,37,ICMR (India)
9,7.0,37,ICMR (India)
9,9.0,37,ICMR (India)
9,34.0,37,ICMR (India)
9,11.0,37,ICMR (India)
9,19.0,37,ICMR (India)
9,20.0,37,ICMR (India)
9,26.0,37,ICMR (India)
9,2.0,37,ICMR (India)
9,35.0,37,ICMR (India)
9,12.0,37,ICMR (India)
9,17.0,37,ICMR (India)
9,18.0,37,ICMR (India)
9,21.0,37,ICMR (India)
9,27.0,37,ICMR (India)
1,1.0,28,ICMR (India)
1,7.0,28,ICMR (India)
1,34.0,28,ICMR (India)
1,11.0,28,ICMR (India)
1,19.0,28,ICMR (India)
1,20.0,28,ICMR (India)
1,26.0,28,ICMR (India)
5,1.0,28,ICMR (India)
5,7.0,28,ICMR (India)
5,9.0,28,ICMR (India)
5,34.0,28,ICMR (India)
5,11.0,28,ICMR (India)
5,19.0,28,ICMR (India)
5,20.0,28,ICMR (India)
5,26.0,28,ICMR (India)
23,1.0,28,ICMR (India)
23,3.0,28,ICMR (India)
23,9.0,28,ICMR (India)
23,19.0,28,ICMR (India)
23,45.0,28,ICMR (India)
23,20.0,28,ICMR (India)
23,58.0,28,ICMR (India)
23,26.0,28,ICMR (India)
21,3.0,28,ICMR (India)
21,9.0,28,ICMR (India)
21,11.0,28,ICMR (India)
21,19.0,28,ICMR (India)
21,45.0,28,ICMR (India)
21,20.0,28,ICMR (India)
21,26.0,28,ICMR (India)
21,50.0,28,ICMR (India)
21,1.0,2,ICMR (India)
21,9.0,2,ICMR (India)
21,11.0,2,ICMR (India)
21,43.0,2,ICMR (India)
21,19.0,2,ICMR (India)
21,45.0,2,ICMR (India)
21,20.0,2,ICMR (India)
21,26.0,2,ICMR (India)
21,50.0,2,ICMR (India)
23,2.0,6,ICMR (India)
23,4.0,6,ICMR (India)
23,18.0,6,ICMR (India)
23,27.0,6,ICMR (India)
23,41.0,6,ICMR (India)
23,10.0,6,ICMR (India)
23,21.0,6,ICMR (India)
1,2.0,6,ICMR (India)
1,8.0,6,ICMR (India)
1,12.0,6,ICMR (India)
1,18.0,6,ICMR (India)
1,27.0,6,ICMR (India)
1,41.0,6,ICMR (India)
1,17.0,6,ICMR (India)
1,21.0,6,ICMR (India)
5,2.0,6,ICMR (India)
5,8.0,6,ICMR (India)
5,12.0,6,ICMR (India)
5,18.0,6,ICMR (India)
5,27.0,6,ICMR (India)
5,41.0,6,ICMR (India)
5,21.0,6,ICMR (India)
1,2.0,6,ICMR (India)
1,8.0,6,ICMR (India)
1,12.0,6,ICMR (India)
1,18.0,6,ICMR (India)
1,27.0,6,ICMR (India)
1,41.0,6,ICMR (India)
1,17.0,6,ICMR (India)
1,21.0,6,ICMR (India)
1,1.0,32,ICMR (India)
1,7.0,32,ICMR (India)
1,34.0,32,ICMR (India)
1,11.0,32,ICMR (India)
1,19.0,32,ICMR (India)
1,20.0,32,ICMR (India)
1,23.0,32,ICMR (India)
1,26.0,32,ICMR (India)
5,1.0,32,ICMR (India)
5,7.0,32,ICMR (India)
5,34.0,32,ICMR (India)
5,11.0,32,ICMR (India)
5,19.0,32,ICMR (India)
5,20.0,32,ICMR (India)
5,26.0,32,ICMR (India)
29,,32,ICMR (India)
29,66.0,32,ICMR (India)
29,11.0,32,ICMR (India)
29,68.0,32,ICMR (India)
29,71.0,32,ICMR (India)
29,72.0,32,ICMR (India)
29,52.0,32,ICMR (India)
29,28.0,32,ICMR (India)
29,81.0,32,ICMR (India)
112,9.0,32,ICMR (India)
112,20.0,32,ICMR (India)
112,58.0,32,ICMR (India)
112,28.0,32,ICMR (India)
112,10.0,32,ICMR (India)
112,46.0,32,ICMR (India)
112,21.0,32,ICMR (India)
112,59.0,32,ICMR (India)
112,29.0,32,ICMR (India)
5,1.0,32,ICMR (India)
5,7.0,32,ICMR (India)
5,34.0,32,ICMR (India)
5,11.0,32,ICMR (India)
5,19.0,32,ICMR (India)
5,20.0,32,ICMR (India)
5,26.0,32,ICMR (India)
5,1.0,28,ICMR (India)
5,7.0,28,ICMR (India)
5,34.0,28,ICMR (India)
5,11.0,28,ICMR (India)
5,19.0,28,ICMR (India)
5,20.0,28,ICMR (India)
5,26.0,28,ICMR (India)
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Acridine_Dye,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminocoumarin,Global,Kaggle Genomic Repository
Escherichia Coli,Aminoglycoside,Global,Kaggle Genomic Repository
Escherichia Coli,Aminoglycoside,Global,Kaggle Genomic Repository
Escherichia Coli,Aminoglycoside,Global,Kaggle Genomic Repository
Escherichia Coli,Aminoglycoside,Global,Kaggle Genomic Repository
Escherichia Coli,Aminoglycoside,Global,Kaggle Genomic Repository
Escherichia Coli,Aminoglycoside,Global,Kaggle Genomic Repository
Escherichia Coli,Aminoglycoside,Global,Kaggle Genomic Repository
Escherichia Coli,Aminoglycoside,Global,Kaggle Genomic Repository
Escherichia Coli,Aminoglycoside,Global,Kaggle Genomic Repository
Escherichia Coli,Aminoglycoside,Global,Kaggle Genomic Repository
Escherichia Coli,Aminoglycoside,Global,Kaggle Genomic Repository
Escherichia Coli,Aminoglycoside,Global,Kaggle Genomic Repository
Escherichia Coli,Aminoglycoside,Global,Kaggle Genomic Repository
Escherichia Coli,Aminoglycoside,Global,Kaggle Genomic Repository
Escherichia Coli,Aminoglycoside,Global,Kaggle Genomic Repository
Escherichia Coli,Aminoglycoside,Global,Kaggle Genomic Repository
Escherichia Coli,Aminoglycoside,Global,Kaggle Genomic Repository
Escherichia Coli,Aminoglycoside,Global,Kaggle Genomic Repository
Escherichia Coli,Aminoglycoside,Global,Kaggle Genomic Repository
